Time, Global Time,Voltage
µsec, lmao,V
313391933,0/0/0_0:0:0.0,127
314401926,0/0/0_0:0:0.0,127
315411926,0/0/0_0:0:0.0,126
316421927,0/0/0_0:0:0.0,126
317431923,0/0/0_0:0:0.0,126
318441924,0/0/0_0:0:0.0,126
319451926,0/0/0_0:0:0.0,126
320461933,0/0/0_0:0:0.0,126
321481935,0/0/0_0:0:0.0,126
322491933,0/0/0_0:0:0.0,126
323501935,0/0/0_0:0:0.0,126
324511936,0/0/0_0:0:0.0,126
325521935,0/0/0_0:0:0.0,126
326531933,0/0/0_0:0:0.0,126
327541935,0/0/0_0:0:0.0,126
328551937,0/0/0_0:0:0.0,126
329561935,0/0/0_0:0:0.0,126
330571926,0/0/0_0:0:0.0,126
331581933,0/0/0_0:0:0.0,126
332591935,0/0/0_0:0:0.0,126
333601931,0/0/0_0:0:0.0,126
334611918,0/0/0_0:0:0.0,127
335621935,0/0/0_0:0:0.0,126
336631933,0/0/0_0:0:0.0,126
337641923,0/0/0_0:0:0.0,126
338651929,0/0/0_0:0:0.0,126
339661933,0/0/0_0:0:0.0,126
340671928,0/0/0_0:0:0.0,127
341681935,0/0/0_0:0:0.0,126
342701929,0/0/0_0:0:0.0,126
343707379,0/0/0_0:0:0.0,126
344711924,0/0/0_0:0:0.0,126
345721933,0/0/0_0:0:0.0,126
346731929,0/0/0_0:0:0.0,126
347741935,0/0/0_0:0:0.0,126
349411933,0/0/0_0:0:0.0,126
350421933,0/0/0_0:0:0.0,126
351431934,0/0/0_0:0:0.0,126
352441937,0/0/0_0:0:0.0,126
353451937,0/0/0_0:0:0.0,126
354461933,0/0/0_0:0:0.0,126
355471940,0/0/0_0:0:0.0,126
356491924,0/0/0_0:0:0.0,127
357501935,0/0/0_0:0:0.0,127
358511925,0/0/0_0:0:0.0,126
359521935,0/0/0_0:0:0.0,127
360531934,0/0/0_0:0:0.0,127
361551935,0/0/0_0:0:0.0,127
362561918,0/0/0_0:0:0.0,126
363571935,0/0/0_0:0:0.0,127
364581933,0/0/0_0:0:0.0,127
365591939,0/0/0_0:0:0.0,127
366601935,0/0/0_0:0:0.0,127
367611926,0/0/0_0:0:0.0,127
368621933,0/0/0_0:0:0.0,127
369631919,0/0/0_0:0:0.0,126
370641924,0/0/0_0:0:0.0,126
371651933,0/0/0_0:0:0.0,126
372661924,0/0/0_0:0:0.0,126
373671935,0/0/0_0:0:0.0,126
374681930,0/0/0_0:0:0.0,127
375691926,0/0/0_0:0:0.0,127
376711935,0/0/0_0:0:0.0,126
377721933,0/0/0_0:0:0.0,126
378731933,0/0/0_0:0:0.0,126
379741935,0/0/0_0:0:0.0,126
380751933,0/0/0_0:0:0.0,126
381771935,0/0/0_0:0:0.0,126
382781932,0/0/0_0:0:0.0,126
383791937,0/0/0_0:0:0.0,126
384801937,0/0/0_0:0:0.0,127
385811926,0/0/0_0:0:0.0,127
386821926,0/0/0_0:0:0.0,127
387827636,0/0/0_0:0:0.0,126
388841933,0/0/0_0:0:0.0,126
389851926,0/0/0_0:0:0.0,126
390861937,0/0/0_0:0:0.0,126
391871933,0/0/0_0:0:0.0,127
392881922,0/0/0_0:0:0.0,127
393891927,0/0/0_0:0:0.0,126
394901926,0/0/0_0:0:0.0,126
395911935,0/0/0_0:0:0.0,126
396921934,0/0/0_0:0:0.0,126
397941935,0/0/0_0:0:0.0,126
398951937,0/0/0_0:0:0.0,125
399971935,0/0/0_0:0:0.0,125
400981924,0/0/0_0:0:0.0,126
401991933,0/0/0_0:0:0.0,126
403001935,0/0/0_0:0:0.0,126
404011935,0/0/0_0:0:0.0,126
405021935,0/0/0_0:0:0.0,126
406031920,0/0/0_0:0:0.0,126
407041933,0/0/0_0:0:0.0,126
408051932,0/0/0_0:0:0.0,126
409061924,0/0/0_0:0:0.0,127
410071926,0/0/0_0:0:0.0,126
411091939,0/0/0_0:0:0.0,126
412101935,0/0/0_0:0:0.0,127
413111931,0/0/0_0:0:0.0,126
414121924,0/0/0_0:0:0.0,126
415131930,0/0/0_0:0:0.0,126
416141929,0/0/0_0:0:0.0,126
417151933,0/0/0_0:0:0.0,126
418161932,0/0/0_0:0:0.0,126
419171937,0/0/0_0:0:0.0,125
420177670,0/0/0_0:0:0.0,126
421191934,0/0/0_0:0:0.0,126
422201925,0/0/0_0:0:0.0,125
423211922,0/0/0_0:0:0.0,126
424221926,0/0/0_0:0:0.0,125
425231940,0/0/0_0:0:0.0,125
426241928,0/0/0_0:0:0.0,126
427251943,0/0/0_0:0:0.0,126
428261932,0/0/0_0:0:0.0,126
429271935,0/0/0_0:0:0.0,125
430281937,0/0/0_0:0:0.0,125
431291936,0/0/0_0:0:0.0,123
432311918,0/0/0_0:0:0.0,126
433321940,0/0/0_0:0:0.0,126
434331922,0/0/0_0:0:0.0,126
435341937,0/0/0_0:0:0.0,125
436351928,0/0/0_0:0:0.0,125
437361925,0/0/0_0:0:0.0,126
438371926,0/0/0_0:0:0.0,126
439381935,0/0/0_0:0:0.0,127
440391934,0/0/0_0:0:0.0,126
441411921,0/0/0_0:0:0.0,126
442421933,0/0/0_0:0:0.0,127
443431938,0/0/0_0:0:0.0,126
444441922,0/0/0_0:0:0.0,127
445451925,0/0/0_0:0:0.0,127
446461928,0/0/0_0:0:0.0,126
447471936,0/0/0_0:0:0.0,127
448481921,0/0/0_0:0:0.0,126
449491934,0/0/0_0:0:0.0,127
450501937,0/0/0_0:0:0.0,126
451511925,0/0/0_0:0:0.0,127
452521937,0/0/0_0:0:0.0,126
453541925,0/0/0_0:0:0.0,127
454551931,0/0/0_0:0:0.0,127
455561929,0/0/0_0:0:0.0,127
456571932,0/0/0_0:0:0.0,127
457581917,0/0/0_0:0:0.0,127
458591926,0/0/0_0:0:0.0,126
459601928,0/0/0_0:0:0.0,126
460611929,0/0/0_0:0:0.0,126
461621938,0/0/0_0:0:0.0,127
462631917,0/0/0_0:0:0.0,126
463641916,0/0/0_0:0:0.0,126
464651934,0/0/0_0:0:0.0,127
465661933,0/0/0_0:0:0.0,127
466671925,0/0/0_0:0:0.0,126
467681934,0/0/0_0:0:0.0,126
468691936,0/0/0_0:0:0.0,124
469711925,0/0/0_0:0:0.0,125
470721940,0/0/0_0:0:0.0,125
471731917,0/0/0_0:0:0.0,125
472741937,0/0/0_0:0:0.0,125
473751926,0/0/0_0:0:0.0,126
474771925,0/0/0_0:0:0.0,126
475781936,0/0/0_0:0:0.0,126
476791937,0/0/0_0:0:0.0,126
477801939,0/0/0_0:0:0.0,126
478811924,0/0/0_0:0:0.0,125
479817444,0/0/0_0:0:0.0,126
480831927,0/0/0_0:0:0.0,126
481851934,0/0/0_0:0:0.0,126
482861935,0/0/0_0:0:0.0,126
