Time,GLOBAL time,Water Temperature,Oil Temperature,num sats
271910556,11/10/24_11:39:27.825,1664,1628,201326592
272910475,11/10/24_11:39:28.845,1664,1628,201326592
273910480,11/10/24_11:39:29.845,1664,1628,201326592
274910485,11/10/24_11:39:30.845,1664,1629,201326592
275910475,11/10/24_11:39:31.845,1665,1630,201326592
276910477,11/10/24_11:39:32.845,1666,1630,201326592
277914168,11/10/24_11:39:33.865,1665,1632,201326592
278913476,11/10/24_11:39:34.865,1666,1635,201326592
279913476,11/10/24_11:39:35.865,1667,1638,201326592
280914475,11/10/24_11:39:36.865,1668,1642,201326592
281914482,11/10/24_11:39:37.865,1669,1647,201326592
282914472,11/10/24_11:39:38.845,1670,1651,184549376
283923048,11/10/24_11:39:39.865,1673,1655,184549376
284922472,11/10/24_11:39:40.845,1676,1658,201326592
285922477,11/10/24_11:39:41.845,1679,1661,201326592
286922483,11/10/24_11:39:42.865,1684,1663,184549376
287922476,11/10/24_11:39:43.865,1689,1664,201326592
288923475,11/10/24_11:39:44.865,1693,1665,201326592
289931140,11/10/24_11:39:45.885,1698,1667,201326592
290930480,11/10/24_11:39:46.865,1702,1669,201326592
291930477,11/10/24_11:39:47.865,1707,1671,201326592
292930476,11/10/24_11:39:48.865,1711,1673,201326592
293930485,11/10/24_11:39:49.865,1715,1676,201326592
294931476,11/10/24_11:39:50.885,1717,1680,201326592
295939944,11/10/24_11:39:51.885,1720,1683,201326592
296939472,11/10/24_11:39:52.885,1722,1688,201326592
297939482,11/10/24_11:39:53.865,1723,1693,201326592
298940476,11/10/24_11:39:54.885,1724,1698,201326592
299940479,11/10/24_11:39:55.865,1726,1704,201326592
300940478,11/10/24_11:39:56.865,1727,1709,201326592
301948787,11/10/24_11:39:57.885,1729,1713,201326592
302948477,11/10/24_11:39:58.885,1731,1718,201326592
303948477,11/10/24_11:39:59.885,1733,1721,201326592
304948476,11/10/24_11:40:0.885,1735,1724,201326592
305948475,11/10/24_11:40:1.885,1739,1727,201326592
306948477,11/10/24_11:40:2.885,1741,1728,201326592
307956479,11/10/24_11:40:3.905,1744,1731,201326592
308956479,11/10/24_11:40:4.905,1748,1733,184549376
309956477,11/10/24_11:40:5.905,1750,1735,201326592
310957475,11/10/24_11:40:6.905,1753,1737,201326592
311957472,11/10/24_11:40:7.905,1754,1740,201326592
312957471,11/10/24_11:40:8.885,1756,1743,201326592
313965572,11/10/24_11:40:9.905,1757,1745,201326592
314965478,11/10/24_11:40:10.865,1759,1748,201326592
315965480,11/10/24_11:40:11.905,1760,1752,201326592
316965483,11/10/24_11:40:12.905,1762,1754,201326592
317965476,11/10/24_11:40:13.905,1762,1757,201326592
318966476,11/10/24_11:40:14.905,1764,1761,201326592
319974721,11/10/24_11:40:15.925,1766,1765,201326592
320974475,11/10/24_11:40:16.925,1767,1770,201326592
321974475,11/10/24_11:40:17.926,1768,1773,201326592
322974475,11/10/24_11:40:18.926,1768,1776,201326592
323974477,11/10/24_11:40:19.926,1768,1778,201326592
324974475,11/10/24_11:40:20.926,1768,1779,201326592
325977809,11/10/24_11:40:21.926,1766,1780,201326592
326977473,11/10/24_11:40:22.926,1766,1779,201326592
327977473,11/10/24_11:40:23.906,1764,1780,201326592
328978471,11/10/24_11:40:24.906,1762,1780,201326592
329978477,11/10/24_11:40:25.926,1760,1779,201326592
330978477,11/10/24_11:40:26.926,1758,1780,201326592
331982420,11/10/24_11:40:27.926,1756,1782,201326592
332982478,11/10/24_11:40:28.906,1755,1782,201326592
333982475,11/10/24_11:40:29.926,1754,1783,201326592
334982476,11/10/24_11:40:30.926,1752,1784,201326592
335982476,11/10/24_11:40:31.926,1752,1785,201326592
336982476,11/10/24_11:40:32.926,1751,1786,201326592
337988113,11/10/24_11:40:33.926,1750,1787,201326592
338987477,11/10/24_11:40:34.926,1750,1787,201326592
339987478,11/10/24_11:40:35.926,1749,1788,201326592
340987475,11/10/24_11:40:36.926,1748,1788,201326592
341987480,11/10/24_11:40:37.926,1748,1788,201326592
342987478,11/10/24_11:40:38.926,1748,1788,201326592
